time,theta1_deg,theta2_deg,theta1_dot,theta2_dot,theta1_ddot,theta2_ddot,x,y
1.220000,-23.383293,100.033186,-0.4444095134,-0.1547538162,0.2054856935,0.0715549381,0.3480948481,0.1874237736
1.240000,-23.890123,99.856696,-0.4401129944,-0.1532576675,0.2241662111,0.0780599325,0.3506808357,0.1841034500
1.260000,-24.391815,99.681995,-0.4354428650,-0.1516314189,0.2428467287,0.0845649269,0.3532087741,0.1807833374
1.280000,-24.887942,99.509232,-0.4303991253,-0.1498750704,0.2615272463,0.0910699212,0.3556771067,0.1774676409
1.300000,-25.378075,99.338556,-0.4249817752,-0.1479886220,0.2802077638,0.0975749156,0.3580844047,0.1741606494
1.320000,-25.861786,99.170117,-0.4191908147,-0.1459720738,0.2988882814,0.1040799100,0.3604293659,0.1708667301
1.340000,-26.338646,99.004062,-0.4130262439,-0.1438254256,0.3175687990,0.1105849044,0.3627108139,0.1675903223
1.360000,-26.808229,98.840543,-0.4064880627,-0.1415486776,0.3362493166,0.1170898987,0.3649276956,0.1643359318
1.380000,-27.270106,98.679706,-0.3995762712,-0.1391418297,0.3549298342,0.1235948931,0.3670790796,0.1611081244
1.400000,-27.723848,98.521703,-0.3922908694,-0.1366048819,0.3736103518,0.1300998875,0.3691641522,0.1579115197
1.420000,-28.169027,98.366681,-0.3846318572,-0.1339378342,0.3922908694,0.1366048819,0.3711822151,0.1547507853
1.440000,-28.605216,98.214790,-0.3765992346,-0.1311406866,0.4109713870,0.1431098762,0.3731326803,0.1516306308
1.460000,-29.031987,98.066178,-0.3681930017,-0.1282134391,0.4296519046,0.1496148706,0.3750150662,0.1485558009
1.480000,-29.448910,97.920996,-0.3594131584,-0.1251560918,0.4483324221,0.1561198650,0.3768289924,0.1455310702
1.500000,-29.855558,97.779391,-0.3502597048,-0.1219686445,0.4670129397,0.1626248594,0.3785741736,0.1425612366
1.520000,-30.251503,97.641514,-0.3407326408,-0.1186510974,0.4856934573,0.1691298537,0.3802504137,0.1396511156
1.540000,-30.636317,97.507513,-0.3308319665,-0.1152034504,0.5043739749,0.1756348481,0.3818575990,0.1368055343
1.560000,-31.009572,97.377537,-0.3205576818,-0.1116257035,0.5230544925,0.1821398425,0.3833956911,0.1340293255
1.580000,-31.370839,97.251735,-0.3099097868,-0.1079178567,0.5417350101,0.1886448369,0.3848647185,0.1313273224
1.600000,-31.719690,97.130257,-0.2988882814,-0.1040799100,0.5604155277,0.1951498312,0.3862647689,0.1287043522
1.620000,-32.055697,97.013251,-0.2874931657,-0.1001118634,0.5790960453,0.2016548256,0.3875959799,0.1261652313
1.640000,-32.378433,96.900867,-0.2757244396,-0.0960137170,0.5977765629,0.2081598200,0.3888585299,0.1237147595
1.660000,-32.687469,96.793254,-0.2635821032,-0.0917854706,0.6164570804,0.2146648144,0.3900526281,0.1213577147
1.680000,-32.982376,96.690560,-0.2510661564,-0.0874271244,0.6351375980,0.2211698087,0.3911785046,0.1190988475
1.700000,-33.262727,96.592935,-0.2381765993,-0.0829386783,0.6538181156,0.2276748031,0.3922363990,0.1169428761
1.720000,-33.528094,96.500528,-0.2249134318,-0.0783201323,0.6724986332,0.2341797975,0.3932265499,0.1148944813
1.740000,-33.778048,96.413488,-0.2112766539,-0.0735714864,0.6911791508,0.2406847918,0.3941491829,0.1129583011
1.760000,-34.012162,96.331964,-0.1972662657,-0.0686927406,0.7098596684,0.2471897862,0.3950044988,0.1111389257
1.780000,-34.230006,96.256106,-0.1828822672,-0.0636838949,0.7285401860,0.2536947806,0.3957926608,0.1094408926
1.800000,-34.431154,96.186061,-0.1681246583,-0.0585449494,0.7472207036,0.2601997750,0.3965137826,0.1078686811
1.820000,-34.615177,96.121980,-0.1529934391,-0.0532759039,0.7659012212,0.2667047693,0.3971679146,0.1064267075
1.840000,-34.781647,96.064012,-0.1374886095,-0.0478767586,0.7845817388,0.2732097637,0.3977550306,0.1051193197
1.860000,-34.930135,96.012305,-0.1216101695,-0.0423475134,0.8032622563,0.2797147581,0.3982750146,0.1039507916
1.880000,-35.060214,95.967008,-0.1053581192,-0.0366881683,0.8219427739,0.2862197525,0.3987276463,0.1029253179
1.900000,-35.171455,95.928271,-0.0887324585,-0.0308987233,0.8406232915,0.2927247468,0.3991125875,0.1020470080
1.920000,-35.263431,95.896243,-0.0717331875,-0.0249791784,0.8593038091,0.2992297412,0.3994293673,0.1013198803
1.940000,-35.335713,95.871073,-0.0543603062,-0.0189295336,0.8779843267,0.3057347356,0.3996773677,0.1007478555
1.960000,-35.387873,95.852910,-0.0366138145,-0.0127497890,0.8966648443,0.3122397300,0.3998558092,0.1003347502
1.980000,-35.419483,95.841902,-0.0184937124,-0.0064399444,0.9153453619,0.3187447243,0.3999637357,0.1000842696
2.000000,-35.430115,95.838200,0.0000000000,0.0000000000,0.9340258795,0.3252497187,0.4000000000,0.1000000000
